Reference No,Wallet Address,Name,Email,Phone,Address,City,State,Zip,Complaint,Department,Status,Date,Blockchain Status,Transaction Hash,Solve Hash,Discard Reason,Discarded By,Discarded At,Dispute Raised,Dispute Raised At,Permanently Closed,Authority Solved Note,Authority Solved By,Authority Solved At,Last Authority Action At
3FX5HXCM,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,paani bhar gaya hai naali mai,Drainage,Solved,2025-08-06 03:17:03,Success,8fc0ddab7470ad1d8a2f61e303e1d3d7ece93eda34c65afe1dacedccbbe41eed,c58945b5541ca6f487603b6d908d4b32bde09148dd8c46823b47ff7e0e0db34e,,,,,,,,,,
V0ESJLDB,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,pothole issue,Road Maintenance,Solved,2025-08-06 04:17:02,Success,efea53950150c44fcb2fd0bc11e07195ad8f816acb19c0798e8bbee051366f63,dfba38b35e5c6fab45a9bcb60a0d4c0af43616b32cfec536c4df08f8011ad7ff,,,,,,,,,,
QV10UWW0,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,mera ghaaar paisa jaada maang raha,Rent/Building,Solved,2025-08-06 21:46:38,Success,11396b6f84a9d03ae7e79006fd7c220f856f86953a4d87135e7343a08b26e69e,0093622adbfc1d807c265b77d65cf0880ed3b60a76bb9496bb8ded0815faf658,,,,,,,,,,
XXT1HT79,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,paani nahi aa raaha,Water Supply,Solved,2025-08-06 21:54:39,Success,5988b68976fc81007878dde1ac61895fb894f6e74a44e776d53a1255ce9fc8a7,0eb37257c28ccef9f84766404523299eb5f9492a368f92c0dfa4aa0c18c61588,,,,,,,,,,
2O3FIYBL,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,Bijli Nahi aa rahi,Electricity,Discarded by Authority,2025-08-12 16:07:51,Success,8d69ab057b038414ef652ea4cebe1868e7895d2b8aa1d252538b6794fc7ab5c8,,NOT GOOD,superadmin,2026-07-04 02:31:58,,,,,,,
K7DNAR5F,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,Bijli Nahi aa rahi,Electricity,Solved,2025-09-01 16:38:12,Success,aa94f5df14470fed4d62959a5cb9af376b7e4f5adfec0bb50ae5a181325064e1,470c94e1987f961099d1d9ea2a0c010a46a095ebbc52614d6ad721ddbe7459f5,,,,,,,,,,
KAWZYNYK,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,paani nahi aa  raha,Water Supply,Solved,2025-12-11 17:31:01,Success,556cbc03ce5022394a25d2f2ba283e9e28c688aa3ea9bb9abd1e7b573150cda2,fd77009394063ee78227a2692e58aa154492e5e7a522adc5e28ae0bcb849ef07,,,,,,,,,,
SAA3W532,0x8237d19d0a9e0458d4e8ff292be2a7c35a061a1e,ABHI,ABHI@GNAIE.COM,1234567890,NEW TOWN,KOLKATA,KOLKATA,713334,There is some issue in gutter off the road,Road Maintenance,Discarded by Authority,2026-07-04 02:50:52,Success,9195cc28f85cd0c14b7ad8a139e9605793b2d3212e85536c9e29b1f77604d305,,YES,superadmin (All),2026-07-04 02:58:55,,,,"CLEANED THE GUTTER 
ADDED SANITATION",superadmin (All),2026-07-04 02:56:05,2026-07-04 02:58:55
RJHZM717,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,paani ki dikkat,Water Supply,Submitted,2026-07-04 03:40:28,Success,5a76cb314f32a60fdd493c1254cb9689e844048359914b2931b1180b0effc577,/static/uploads/complaints/RJHZM717/file_0.jpeg,,,,,,,,,,
FN8L3W16,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,paani ni aa raha,Water Supply,Submitted,2026-07-04 04:24:34,Success,c35340556edf1b2bbf23887cef8bedb12c151922ab2babed7f27cd788b81b810,https://res.cloudinary.com/jfbru6st/image/upload/v1783119257/complaints/FN8L3W16/file_0_dztbr8.jpg,,,,,,,,,,
L9RD5VH4,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,bijli,Electricity,Submitted,2026-07-04 04:34:57,Success,9de1fb0f6637f29f399c2b8f68d27593737c3e0fd95b689e2a9fdf224617708c,https://res.cloudinary.com/jfbru6st/image/upload/v1783119880/complaints/L9RD5VH4/file_0_nhc8cm.jpg
